phase,arm,config_hash,seed,corpus,split_file,eval_partition,n_params,n_params_trainable,epochs_run,best_epoch,acc,bal_acc,prec,rec,f1,auc,acc_urdu,acc_english,acc_digit,f1_urdu,f1_english,f1_digit,n_urdu,n_english,n_digit,optimizer,learning_rate,weight_decay,depth_config,sca_d,sca_r,backbone,runtime_s,env,timestamp
tuning,A3,9c4a50a986,101,primary,split_v1.json,val,9651652,6422788,14,9,0.709677,0.652729,0.755556,0.829268,0.790698,0.819977,0.731707,0.777778,0.583333,0.830769,0.75,0.615385,41,9,12,adam,0.0001,0.0,,16,16,mobilenet,64.52,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T22:11:21+00:00
tuning,A3,9c4a50a986,102,primary,split_v1.json,val,9651652,6422788,17,12,0.709677,0.664344,0.767442,0.804878,0.785714,0.839721,0.756098,0.777778,0.5,0.83871,0.75,0.571429,41,9,12,adam,0.0001,0.0,,16,16,mobilenet,56.13,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T22:12:17+00:00
